Topic,Documents
Topic_1,2
Topic_10,9
Topic_11,6
Topic_12,5
Topic_13,4
Topic_14,3
Topic_15,1
Topic_16,2
Topic_17,5
Topic_18,4
Topic_19,3
Topic_2,1
Topic_20,2
Topic_21,1
Topic_22,8
Topic_23,3
Topic_25,4
Topic_26,4
Topic_27,1
Topic_28,2
Topic_29,7
Topic_3,1
Topic_30,1
Topic_31,1
Topic_32,4
Topic_33,4
Topic_34,2
Topic_35,4
Topic_36,1
Topic_37,1
Topic_38,4
Topic_39,2
Topic_4,4
Topic_40,4
Topic_41,2
Topic_42,2
Topic_43,3
Topic_44,3
Topic_49,1
Topic_5,4
Topic_50,5
Topic_51,2
Topic_52,3
Topic_53,2
Topic_54,2
Topic_55,3
Topic_56,2
Topic_59,3
Topic_6,2
Topic_61,2
Topic_62,6
Topic_63,3
Topic_64,2
Topic_65,1
Topic_66,3
Topic_67,2
Topic_68,4
Topic_69,5
Topic_7,2
Topic_70,2
Topic_71,3
Topic_72,1
Topic_73,4
Topic_74,1
Topic_75,1
Topic_76,5
Topic_77,1
Topic_78,5
Topic_79,3
Topic_8,1
Topic_80,2
Topic_81,6
Topic_82,1
Topic_84,4
Topic_85,10
Topic_86,4
Topic_87,2
Topic_88,1
Topic_89,1
Topic_9,3
