Topic,Documents
Topic_1,7
Topic_10,1
Topic_11,1
Topic_12,3
Topic_13,3
Topic_14,1
Topic_16,2
Topic_17,2
Topic_18,5
Topic_19,3
Topic_21,3
Topic_22,2
Topic_23,2
Topic_24,2
Topic_25,1
Topic_26,7
Topic_27,2
Topic_28,1
Topic_29,2
Topic_3,7
Topic_31,5
Topic_33,1
Topic_34,2
Topic_35,7
Topic_36,4
Topic_37,2
Topic_38,6
Topic_39,1
Topic_4,3
Topic_40,3
Topic_43,2
Topic_44,7
Topic_46,1
Topic_47,1
Topic_49,3
Topic_5,1
Topic_50,2
Topic_51,3
Topic_52,3
Topic_53,1
Topic_54,1
Topic_55,2
Topic_56,2
Topic_57,4
Topic_58,3
Topic_59,7
Topic_60,3
Topic_61,1
Topic_62,3
Topic_63,4
Topic_64,4
Topic_65,2
Topic_66,3
Topic_67,1
Topic_68,6
Topic_69,1
Topic_7,4
Topic_70,6
Topic_72,2
Topic_73,1
Topic_75,4
Topic_77,1
Topic_78,1
Topic_79,4
Topic_80,3
Topic_82,5
Topic_83,7
Topic_84,2
Topic_85,2
Topic_88,2
Topic_89,5
Topic_9,4
Topic_90,2
Topic_91,7
Topic_92,4
Topic_93,7
Topic_94,5
