Topics,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC
2,0.32999999999999996,0.32999999999999996,0.320720992114181,0.32999999999999996,0.25935754316028914,0.27574189756141443
3,0.4166666666666667,0.41666666666666663,0.39822200022200027,0.41666666666666663,0.38272367776702143,0.3596821097412243
4,0.54,0.54,0.5217330447330447,0.54,0.5105311583840996,0.49569878094357306
5,0.5833333333333333,0.5833333333333333,0.578946053946054,0.5833333333333333,0.5616112872335782,0.5428107903318222
6,0.6766666666666666,0.6766666666666666,0.6885353535353536,0.6766666666666666,0.6624853186029657,0.645581244454902
7,0.7033333333333334,0.7033333333333334,0.740547619047619,0.7033333333333334,0.6912638472638474,0.676385582952812
8,0.7633333333333333,0.7633333333333334,0.7877619047619048,0.7633333333333334,0.7531166056166055,0.7412113818375403
9,0.7333333333333333,0.7333333333333334,0.748468253968254,0.7333333333333334,0.7216977466977468,0.7074875725989849
10,0.7666666666666667,0.7666666666666667,0.782487012987013,0.7666666666666667,0.7598918401859578,0.7441487184001009
11,0.78,0.78,0.8003614718614719,0.78,0.7780055369467134,0.7582469461669129
12,0.8233333333333335,0.8233333333333335,0.8486825396825397,0.8233333333333335,0.8223203463203463,0.8064579589835079
13,0.8166666666666667,0.8166666666666667,0.8354285714285714,0.8166666666666667,0.8157057942057943,0.798692009582773
14,0.8366666666666667,0.8366666666666667,0.8521031746031748,0.8366666666666667,0.8290418470418471,0.8215052571735896
15,0.8300000000000001,0.8300000000000001,0.8468809523809524,0.8300000000000001,0.8272780552780553,0.813707667426159
16,0.8533333333333333,0.8533333333333333,0.8636190476190476,0.8533333333333333,0.8507659007659008,0.8387495715302971
17,0.8800000000000001,0.8800000000000001,0.8891666666666668,0.8800000000000001,0.8782957042957044,0.8680969673799552
18,0.9,0.9,0.9075952380952381,0.9,0.8987445887445886,0.8900651390608509
19,0.8699999999999999,0.8699999999999999,0.8845952380952381,0.8699999999999999,0.8645925185925186,0.8580998812835071
20,0.8733333333333333,0.8733333333333334,0.888904761904762,0.8733333333333334,0.871984681984682,0.8613682121158431
21,0.8699999999999999,0.8700000000000001,0.8906666666666666,0.8700000000000001,0.8622660672660674,0.8586587531176713
22,0.89,0.89,0.9032301587301588,0.89,0.8891401931401932,0.8795683541204233
23,0.9033333333333333,0.9033333333333333,0.9118333333333334,0.9033333333333333,0.8997485847485848,0.894489491869091
24,0.9033333333333333,0.9033333333333333,0.9165714285714286,0.9033333333333333,0.9031481851481852,0.8941545264442461
25,0.9199999999999999,0.9200000000000002,0.9314047619047618,0.9200000000000002,0.9211974691974693,0.9121523448236557
26,0.9033333333333333,0.9033333333333333,0.919047619047619,0.9033333333333333,0.9025274725274726,0.8945077049351869
27,0.89,0.89,0.9035238095238094,0.89,0.8872105672105672,0.8799826792307692
28,0.8733333333333334,0.8733333333333334,0.8807380952380953,0.8733333333333334,0.8727965367965368,0.860258065951597
29,0.9033333333333333,0.9033333333333333,0.9166904761904762,0.9033333333333333,0.898913086913087,0.8946610327662864
30,0.9033333333333333,0.9033333333333335,0.9140238095238095,0.9033333333333335,0.9002973692973694,0.8947969919070872
31,0.9133333333333333,0.9133333333333333,0.9282619047619048,0.9133333333333333,0.9077609057609057,0.9060181138256611
32,0.9033333333333333,0.9033333333333333,0.9230476190476191,0.9033333333333333,0.899004662004662,0.8953925174668246
33,0.8766666666666666,0.8766666666666666,0.8844761904761904,0.8766666666666666,0.8724916749916749,0.8649381542364056
34,0.8933333333333333,0.8933333333333333,0.9118333333333334,0.8933333333333333,0.8908384948384949,0.8837650902664423
35,0.8866666666666667,0.8866666666666667,0.897920634920635,0.8866666666666667,0.885026307026307,0.8757820836766509
36,0.9,0.9,0.9165714285714286,0.9,0.898032967032967,0.8910563077370416
37,0.8933333333333333,0.8933333333333333,0.9035952380952381,0.8933333333333333,0.8906870906870907,0.88320319715508
38,0.89,0.89,0.904857142857143,0.89,0.8887076257076257,0.8795302044906872
39,0.8866666666666667,0.8866666666666667,0.901,0.8866666666666667,0.8853466533466534,0.875935693826732
40,0.9,0.9,0.9202063492063491,0.9,0.8992673992673993,0.8911680678743167
41,0.8933333333333333,0.8933333333333333,0.9073809523809523,0.8933333333333333,0.8934971694971695,0.8829717347338042
42,0.8933333333333333,0.8933333333333333,0.9034761904761904,0.8933333333333333,0.8914395604395604,0.8832680732075022
43,0.8833333333333334,0.8833333333333334,0.8936190476190475,0.8833333333333334,0.8821598401598403,0.871808165072648
44,0.8800000000000001,0.8800000000000001,0.8963809523809523,0.8800000000000001,0.8778422688422689,0.8690348838392822
45,0.89,0.89,0.9040873015873017,0.89,0.8877074037074036,0.8797815949362027
46,0.9099999999999999,0.9100000000000001,0.9205238095238096,0.9100000000000001,0.9087239427239429,0.9014736757698107
47,0.8866666666666667,0.8866666666666667,0.9021428571428572,0.8866666666666667,0.8813946053946055,0.8765218407595992
48,0.9133333333333333,0.9133333333333333,0.9247857142857143,0.9133333333333333,0.9113280053280054,0.9053314989420445
49,0.8966666666666667,0.8966666666666667,0.9071190476190477,0.8966666666666667,0.8941098901098901,0.8867072122849298
50,0.8966666666666667,0.8966666666666667,0.9007619047619049,0.8966666666666667,0.8952074592074591,0.8859408418123197
51,0.9066666666666666,0.9066666666666668,0.9198095238095239,0.9066666666666668,0.9003016983016984,0.8984415520199995
52,0.9133333333333333,0.9133333333333333,0.9233809523809524,0.9133333333333333,0.9098707958707959,0.9053477481079168
53,0.8766666666666666,0.8766666666666666,0.8891428571428571,0.8766666666666666,0.8741621711621711,0.8650860495589339
54,0.8933333333333333,0.8933333333333333,0.9081428571428571,0.8933333333333333,0.8954758574758575,0.8826692293472058
55,0.9166666666666666,0.9166666666666666,0.9299285714285714,0.9166666666666666,0.9156483516483517,0.9090728852240314
56,0.89,0.89,0.9114047619047619,0.89,0.8884718614718615,0.8804223837621843
57,0.9199999999999999,0.9199999999999999,0.9308095238095238,0.9199999999999999,0.9188644688644689,0.9125149349176004
58,0.9,0.9,0.9157380952380952,0.9,0.8957748917748918,0.8910310835642028
59,0.9033333333333333,0.9033333333333333,0.915420634920635,0.9033333333333333,0.9026273726273726,0.894093621485774
