ExperimentID,Fold,Topics,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC
F1_K002,1,2,0.23333333333333334,0.2333333333333333,0.29738095238095236,0.2333333333333333,0.22051393051393048,0.1519967929015043
F1_K003,1,3,0.4666666666666667,0.4666666666666666,0.523611111111111,0.4666666666666666,0.46068181818181814,0.411881034621269
F1_K004,1,4,0.5333333333333333,0.5333333333333333,0.615530303030303,0.5333333333333333,0.5334080298786181,0.487538090401277
F1_K005,1,5,0.5666666666666667,0.5666666666666667,0.6084632034632034,0.5666666666666667,0.5676673000202412,0.5225663435587973
F1_K006,1,6,0.6333333333333333,0.6333333333333333,0.6358441558441559,0.6333333333333333,0.6185342108871521,0.5974059823181102
F1_K007,1,7,0.7,0.7,0.7097619047619047,0.7,0.6963927738927739,0.6691496051182059
F1_K008,1,8,0.7833333333333333,0.7833333333333334,0.7938095238095237,0.7833333333333334,0.7775135975135975,0.7630366918260704
F1_K009,1,9,0.7333333333333333,0.7333333333333333,0.7641269841269841,0.7333333333333333,0.7278554778554779,0.7067642499413486
F1_K010,1,10,0.8,0.7999999999999999,0.8402597402597403,0.7999999999999999,0.7947141094199918,0.7831133910418313
F1_K011,1,11,0.7833333333333333,0.7833333333333334,0.8076190476190476,0.7833333333333334,0.7786480186480186,0.7623241282230249
F1_K012,1,12,0.8166666666666667,0.8166666666666668,0.8254761904761905,0.8166666666666668,0.8137329337329338,0.7977750279252006
F1_K013,1,13,0.7833333333333333,0.7833333333333333,0.8080952380952381,0.7833333333333333,0.7775663225663226,0.7637512573254064
F1_K014,1,14,0.7833333333333333,0.7833333333333332,0.838095238095238,0.7833333333333332,0.7556868131868131,0.7673544441333506
F1_K015,1,15,0.9166666666666666,0.9166666666666666,0.9264285714285716,0.9166666666666666,0.9157842157842158,0.9088109773219402
F1_K016,1,16,0.8333333333333334,0.8333333333333334,0.8271428571428572,0.8333333333333334,0.8226373626373628,0.8165809428209023
F1_K017,1,17,0.85,0.85,0.8671428571428571,0.85,0.8446853146853147,0.836177041509925
F1_K018,1,18,0.8833333333333333,0.8833333333333332,0.8988095238095237,0.8833333333333332,0.8816117216117215,0.8722569161950547
