ExperimentID,Fold,Topics,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC
F1_K002,1,2,0.3333333333333333,0.33333333333333337,0.2857456140350877,0.33333333333333337,0.23442857142857143,0.2809003238667948
F1_K003,1,3,0.48333333333333334,0.4833333333333333,0.5353868353868354,0.4833333333333333,0.46736921489243477,0.4355779379383786
F1_K004,1,4,0.6666666666666666,0.6666666666666666,0.6863492063492064,0.6666666666666666,0.6578554778554778,0.6333547011966785
F1_K005,1,5,0.5666666666666667,0.5666666666666667,0.5821969696969698,0.5666666666666667,0.5605075969781852,0.5220755940278876
F1_K006,1,6,0.75,0.75,0.7569047619047619,0.75,0.7466300366300367,0.7237876538639816
F1_K007,1,7,0.7333333333333333,0.7333333333333333,0.7320238095238095,0.7333333333333333,0.7228660228660229,0.7056666188240353
F1_K008,1,8,0.9,0.9000000000000001,0.9238095238095239,0.9000000000000001,0.8887412587412588,0.8930329154975162
F1_K009,1,9,0.7833333333333333,0.7833333333333334,0.8019047619047619,0.7833333333333334,0.7700932400932402,0.7627989486541283
F1_K010,1,10,0.9,0.9,0.9130952380952382,0.9,0.896996336996337,0.8908155739864388
F1_K011,1,11,0.8333333333333334,0.8333333333333334,0.8380952380952381,0.8333333333333334,0.8284249084249085,0.8165809428209023
F1_K012,1,12,0.8333333333333334,0.8333333333333333,0.8528571428571429,0.8333333333333333,0.8264868464868466,0.817849517366696
F1_K013,1,13,0.85,0.85,0.8528571428571429,0.85,0.8446853146853147,0.8346223261119858
F1_K014,1,14,0.8666666666666667,0.8666666666666668,0.8761904761904763,0.8666666666666668,0.8614951714951715,0.8539630120953832
F1_K015,1,15,0.9,0.9,0.9130952380952382,0.9,0.8969963369963372,0.8908155739864388
F1_K016,1,16,0.8666666666666667,0.8666666666666666,0.8839285714285715,0.8666666666666666,0.8617582417582417,0.8547587535434789
F1_K017,1,17,0.9666666666666667,0.9666666666666668,0.9714285714285715,0.9666666666666668,0.9664335664335665,0.9635579355022502
F1_K018,1,18,0.9,0.9,0.9157142857142858,0.9,0.8982817182817182,0.891091838708226
F1_K019,1,19,0.85,0.85,0.8710714285714285,0.85,0.8389110889110889,0.83669721390332
F1_K020,1,20,0.8833333333333333,0.8833333333333332,0.8915476190476191,0.8833333333333332,0.8834332334332334,0.8714468956678869
F1_K021,1,21,0.9,0.9,0.9178571428571429,0.9,0.893919413919414,0.8916451401205645
F1_K022,1,22,0.9333333333333333,0.9333333333333333,0.9523809523809523,0.9333333333333333,0.9298834498834498,0.9287970209589214
F1_K023,1,23,0.95,0.95,0.9607142857142857,0.95,0.9507492507492508,0.9456125889162177
F1_K024,1,24,0.95,0.9500000000000002,0.9571428571428571,0.9500000000000002,0.951048951048951,0.94502797520413
F1_K025,1,25,0.9666666666666667,0.9666666666666668,0.9714285714285715,0.9666666666666668,0.9664335664335664,0.9635579355022502
F1_K026,1,26,0.9166666666666666,0.9166666666666667,0.9273809523809524,0.9166666666666667,0.914125874125874,0.9096562520146473
F1_K027,1,27,0.95,0.95,0.9607142857142857,0.95,0.948931068931069,0.9459053029269173
F1_K028,1,28,0.9666666666666667,0.9666666666666668,0.9714285714285715,0.9666666666666668,0.9664335664335665,0.9635579355022502
F1_K029,1,29,0.95,0.9500000000000002,0.9583333333333334,0.9500000000000002,0.9508658008658009,0.9453201464818493
F1_K030,1,30,0.9333333333333333,0.9333333333333333,0.9523809523809523,0.9333333333333333,0.9341258741258741,0.9282206653210687
F1_K031,1,31,0.95,0.95,0.9547619047619047,0.95,0.9497668997668999,0.94502797520413
F1_K032,1,32,0.9,0.9,0.9157142857142858,0.9,0.8992773892773893,0.891091838708226
F1_K033,1,33,0.9333333333333333,0.9333333333333333,0.9404761904761905,0.9333333333333333,0.9311655011655011,0.927071165604135
F1_K034,1,34,0.9,0.9000000000000001,0.9273809523809524,0.9000000000000001,0.8974159174159174,0.8924770281635414
F1_K035,1,35,0.9166666666666666,0.9166666666666666,0.9228571428571429,0.9166666666666666,0.9146853146853147,0.9085297422920523
F1_K036,1,36,0.9,0.9,0.9178571428571429,0.9,0.8957375957375957,0.891368360619834
F1_K037,1,37,0.9833333333333333,0.9833333333333334,0.9857142857142858,0.9833333333333334,0.9832167832167833,0.9817845481805314
F1_K038,1,38,0.8833333333333333,0.8833333333333334,0.8976190476190478,0.8833333333333334,0.877972027972028,0.8725274254018046
F1_K039,1,39,0.9333333333333333,0.9333333333333333,0.9380952380952381,0.9333333333333333,0.9331002331002332,0.9264980149060098
F1_K040,1,40,0.9333333333333333,0.9333333333333333,0.9428571428571428,0.9333333333333333,0.9324475524475526,0.927071165604135
F1_K041,1,41,0.9333333333333333,0.9333333333333333,0.9428571428571428,0.9333333333333333,0.9342657342657343,0.9267844573351464
F1_K042,1,42,0.9166666666666666,0.9166666666666666,0.9204761904761906,0.9166666666666666,0.9148018648018648,0.9082487681884435
F1_K043,1,43,0.8833333333333333,0.8833333333333334,0.9035714285714285,0.8833333333333334,0.8827772227772229,0.8725274254018046
F1_K044,1,44,0.9,0.9,0.9214285714285715,0.9,0.8936197136197135,0.8921994734909411
F1_K045,1,45,0.9166666666666666,0.9166666666666667,0.9297619047619048,0.9166666666666667,0.9154811854811854,0.9090924736822054
F1_K046,1,46,0.9666666666666667,0.9666666666666668,0.9714285714285715,0.9666666666666668,0.9664335664335665,0.9635579355022502
F1_K047,1,47,0.9333333333333333,0.9333333333333333,0.9380952380952381,0.9333333333333333,0.9331002331002333,0.9264980149060098
F1_K048,1,48,0.95,0.95,0.9607142857142857,0.95,0.9446886446886447,0.9464915473605914
F1_K049,1,49,0.9666666666666667,0.9666666666666668,0.9690476190476192,0.9666666666666668,0.9665501165501166,0.9632603114224082
