Topic,Documents
Topic_1,4
Topic_10,8
Topic_11,3
Topic_12,3
Topic_13,3
Topic_14,1
Topic_16,2
Topic_17,7
Topic_18,5
Topic_19,1
Topic_2,2
Topic_20,4
Topic_22,9
Topic_23,1
Topic_24,1
Topic_25,4
Topic_26,1
Topic_27,2
Topic_28,1
Topic_29,6
Topic_30,4
Topic_33,1
Topic_34,2
Topic_35,2
Topic_36,1
Topic_37,1
Topic_38,2
Topic_39,5
Topic_4,3
Topic_40,5
Topic_41,2
Topic_42,3
Topic_43,1
Topic_44,2
Topic_47,1
Topic_49,2
Topic_5,4
Topic_50,3
Topic_52,4
Topic_53,1
Topic_54,4
Topic_55,3
Topic_56,4
Topic_57,2
Topic_58,3
Topic_59,2
Topic_6,1
Topic_60,2
Topic_61,1
Topic_62,5
Topic_63,5
Topic_64,3
Topic_67,2
Topic_68,1
Topic_69,4
Topic_7,2
Topic_70,4
Topic_72,3
Topic_73,2
Topic_74,1
Topic_75,2
Topic_76,4
Topic_77,1
Topic_78,1
Topic_79,3
Topic_8,3
Topic_80,2
Topic_81,1
Topic_82,3
Topic_83,1
Topic_84,5
Topic_85,4
Topic_86,4
Topic_87,3
Topic_88,1
Topic_89,2
Topic_9,1
Topic_90,1
Topic_91,1
Topic_93,4
Topic_94,15
Topic_95,1
Topic_96,4
Topic_97,2
