TopicID,Topic,Rank,WordID,Word,Probability
0,Topic_1,1,670,prnp,0.058179982
0,Topic_1,2,645,codon,0.049963817
0,Topic_1,3,639,prion,0.036466062
0,Topic_1,4,561,polymorphism,0.027172443
0,Topic_1,5,636,mutation,0.026507676
0,Topic_1,6,366,human,0.018932054
0,Topic_1,7,587,disease,0.018739913
0,Topic_1,8,701,exhibited,0.015544171
0,Topic_1,9,522,clinical,0.015544171
0,Topic_1,10,690,familial,0.015542878
0,Topic_1,11,623,member,0.011668078
0,Topic_1,12,658,family,0.011668078
0,Topic_1,13,699,age,0.011668078
0,Topic_1,14,675,case,0.011668078
0,Topic_1,15,530,year,0.011668078
0,Topic_1,16,147,two,0.011667464
0,Topic_1,17,243,characterized,0.011231751
0,Topic_1,18,175,study,0.010261139
0,Topic_1,19,59,activity,0.009146969
0,Topic_1,20,641,spongiform,0.007791976
1,Topic_2,1,59,activity,0.045713995
1,Topic_2,2,7,assembly,0.033301204
1,Topic_2,3,761,cancer,0.030535027
1,Topic_2,4,762,colon,0.030535027
1,Topic_2,5,77,fluorescent,0.028556613
1,Topic_2,6,590,locus,0.02292085
1,Topic_2,7,262,chromosome,0.02292085
1,Topic_2,8,62,based,0.022911832
1,Topic_2,9,108,substrate,0.022911832
1,Topic_2,10,97,one,0.022911573
1,Topic_2,11,61,also,0.022868495
1,Topic_2,12,110,surface,0.02266204
1,Topic_2,13,83,imaging,0.022662023
1,Topic_2,14,111,technique,0.021155432
1,Topic_2,15,92,may,0.019501522
1,Topic_2,16,55,using,0.01819208
1,Topic_2,17,106,revealed,0.015599276
1,Topic_2,18,333,network,0.015306675
1,Topic_2,19,759,polyposis,0.015306675
1,Topic_2,20,555,cause,0.015306673
2,Topic_3,1,879,patterning,0.0011286682
2,Topic_3,2,878,sonic,0.0011286682
2,Topic_3,3,877,shh,0.0011286682
2,Topic_3,4,876,plate,0.0011286682
2,Topic_3,5,875,neural,0.0011286682
2,Topic_3,6,874,loop,0.0011286682
2,Topic_3,7,873,limb,0.0011286682
2,Topic_3,8,872,hedgehog,0.0011286682
2,Topic_3,9,871,ectopic,0.0011286682
2,Topic_3,10,870,bud,0.0011286682
2,Topic_3,11,869,genotoxic,0.0011286682
2,Topic_3,12,868,damage,0.0011286682
2,Topic_3,13,867,apoptotic,0.0011286682
2,Topic_3,14,866,nodal,0.0011286682
2,Topic_3,15,865,nucleoside,0.0011286682
2,Topic_3,16,864,diphosphate,0.0011286682
2,Topic_3,17,15,distribution,0.0011286682
2,Topic_3,18,14,differentiation,0.0011286682
2,Topic_3,19,13,development,0.0011286682
2,Topic_3,20,12,cycle,0.0011286682
3,Topic_4,1,163,ligand,0.03688865
3,Topic_4,2,469,apoptosis,0.03162657
3,Topic_4,3,84,increased,0.03162657
3,Topic_4,4,170,receptor,0.03162657
3,Topic_4,5,34,normal,0.026364487
3,Topic_4,6,477,proliferation,0.021102415
3,Topic_4,7,92,may,0.018995041
3,Topic_4,8,314,expressing,0.015840335
3,Topic_4,9,178,trafficking,0.015840335
3,Topic_4,10,511,sample,0.015840333
3,Topic_4,11,636,mutation,0.015840331
3,Topic_4,12,366,human,0.015840326
3,Topic_4,13,315,individual,0.01584032
3,Topic_4,14,674,brain,0.01584031
3,Topic_4,15,877,shh,0.011927243
3,Topic_4,16,27,living,0.010578242
3,Topic_4,17,63,binding,0.010578242
3,Topic_4,18,77,fluorescent,0.010578242
3,Topic_4,19,325,similar,0.010578242
3,Topic_4,20,323,role,0.010578242
4,Topic_5,1,764,carcinoma,0.0985363
4,Topic_5,2,19,expression,0.070715696
4,Topic_5,3,789,metastasis,0.05046283
4,Topic_5,4,815,lymph,0.048797056
4,Topic_5,5,816,node,0.04190937
4,Topic_5,6,162,level,0.04106678
4,Topic_5,7,489,mrna,0.02662613
4,Topic_5,8,509,patient,0.025652621
4,Topic_5,9,629,p,0.025320949
4,Topic_5,10,313,examined,0.023329778
4,Topic_5,11,61,also,0.022398675
4,Topic_5,12,48,staining,0.020679973
4,Topic_5,13,40,positive,0.016861087
4,Topic_5,14,390,tissue,0.01668787
4,Topic_5,15,594,higher,0.016217006
4,Topic_5,16,864,diphosphate,0.016192839
4,Topic_5,17,222,kinase,0.01610997
4,Topic_5,18,31,method,0.015121315
4,Topic_5,19,570,deletion,0.014712337
4,Topic_5,20,482,stage,0.013884999
5,Topic_6,1,469,apoptosis,0.08768461
