Topic,Documents
Topic_1,2
Topic_10,7
Topic_11,11
Topic_12,3
Topic_13,7
Topic_14,2
Topic_16,2
Topic_17,9
Topic_18,7
Topic_19,3
Topic_2,2
Topic_20,2
Topic_22,11
Topic_23,5
Topic_24,1
Topic_25,5
Topic_26,5
Topic_28,5
Topic_29,6
Topic_3,3
Topic_30,3
Topic_31,2
Topic_32,11
Topic_33,3
Topic_34,4
Topic_35,7
Topic_37,2
Topic_38,1
Topic_39,2
Topic_4,8
Topic_40,3
Topic_41,3
Topic_42,1
Topic_43,1
Topic_44,2
Topic_45,1
Topic_47,1
Topic_48,2
Topic_49,2
Topic_5,4
Topic_50,3
Topic_51,3
Topic_52,9
Topic_53,10
Topic_54,2
Topic_55,6
Topic_56,1
Topic_57,2
Topic_58,1
Topic_59,4
Topic_6,3
Topic_60,2
Topic_61,11
Topic_62,4
Topic_63,8
Topic_64,2
Topic_7,7
Topic_8,1
