TopicID,Topic,Rank,WordID,Word,Probability
0,Topic_1,1,462,probe,0.036167175
0,Topic_1,2,518,clinical,0.031259988
0,Topic_1,3,476,dye,0.024131663
0,Topic_1,4,295,reporter,0.024131663
0,Topic_1,5,75,fluorescence,0.02413166
0,Topic_1,6,594,member,0.018113904
0,Topic_1,7,613,codon,0.018113904
0,Topic_1,8,658,affected,0.018113904
0,Topic_1,9,219,step,0.018113904
0,Topic_1,10,485,reverse,0.012469701
0,Topic_1,11,250,detection,0.012281049
0,Topic_1,12,477,fluorogenic,0.012190273
0,Topic_1,13,534,value,0.012096136
0,Topic_1,14,59,activity,0.012096136
0,Topic_1,15,60,also,0.012096136
0,Topic_1,16,497,sample,0.012096136
0,Topic_1,17,473,amplification,0.012096136
0,Topic_1,18,12,cycle,0.012096136
0,Topic_1,19,221,target,0.012096136
0,Topic_1,20,270,standard,0.012096136
1,Topic_2,1,55,tumor,0.050582882
1,Topic_2,2,234,level,0.020801082
1,Topic_2,3,460,treatment,0.019704217
1,Topic_2,4,284,line,0.018650126
1,Topic_2,5,465,apoptosis,0.015390297
1,Topic_2,6,312,role,0.013315558
1,Topic_2,7,495,patient,0.011835387
1,Topic_2,8,14,differentiation,0.011833106
1,Topic_2,9,309,play,0.010947448
1,Topic_2,10,434,associated,0.010856543
1,Topic_2,11,746,progression,0.010808325
1,Topic_2,12,407,significant,0.010648256
1,Topic_2,13,775,breast,0.010426913
1,Topic_2,14,352,human,0.01035948
1,Topic_2,15,91,may,0.010282483
1,Topic_2,16,251,dna,0.010175364
1,Topic_2,17,523,cancer,0.010080071
1,Topic_2,18,60,also,0.009866456
1,Topic_2,19,387,induced,0.00986421
1,Topic_2,20,585,mouse,0.009864203
2,Topic_3,1,852,ventral,0.0012652209
2,Topic_3,2,856,hpe,0.0012301315
2,Topic_3,3,471,tube,0.0012244803
2,Topic_3,4,849,neural,0.0012185363
2,Topic_3,5,850,shh,0.0012164522
2,Topic_3,6,19,expression,0.0012156342
2,Topic_3,7,275,embryo,0.001205402
2,Topic_3,8,833,cholesterol,0.0012046446
2,Topic_3,9,434,associated,0.0012038483
2,Topic_3,10,218,signaling,0.0011996976
2,Topic_3,11,93,model,0.0011989493
2,Topic_3,12,143,rat,0.0011983941
2,Topic_3,13,720,defect,0.0011980522
2,Topic_3,14,639,brain,0.0011961899
2,Topic_3,15,851,sonic,0.0011836882
2,Topic_3,16,213,provide,0.0011828501
2,Topic_3,17,656,stage,0.001182802
2,Topic_3,18,59,activity,0.0011826556
2,Topic_3,19,435,condition,0.0011823702
2,Topic_3,20,189,clearly,0.0011819946
3,Topic_4,1,847,hedgehog,0.0011627907
3,Topic_4,2,846,bud,0.0011627907
3,Topic_4,3,845,vertebrate,0.0011627907
3,Topic_4,4,844,stress,0.0011627907
3,Topic_4,5,843,damage,0.0011627907
3,Topic_4,6,842,bax,0.0011627907
3,Topic_4,7,841,apoptotic,0.0011627907
3,Topic_4,8,840,morphological,0.0011627907
3,Topic_4,9,839,transcriptional,0.0011627907
3,Topic_4,10,838,kda,0.0011627907
3,Topic_4,11,837,nucleoside,0.0011627907
3,Topic_4,12,836,diphosphate,0.0011627907
3,Topic_4,13,835,posterior,0.0011627907
3,Topic_4,14,834,cns,0.0011627907
3,Topic_4,15,833,cholesterol,0.0011627907
3,Topic_4,16,832,sufficient,0.0011627907
3,Topic_4,17,15,distribution,0.0011627907
3,Topic_4,18,14,differentiation,0.0011627907
3,Topic_4,19,13,development,0.0011627907
3,Topic_4,20,12,cycle,0.0011627907
4,Topic_5,1,665,precursor,0.025874568
4,Topic_5,2,564,infectious,0.025874568
4,Topic_5,3,607,scrapie,0.025874568
4,Topic_5,4,604,mutation,0.025874568
4,Topic_5,5,30,method,0.025874564
4,Topic_5,6,462,probe,0.025874564
4,Topic_5,7,221,target,0.025874564
4,Topic_5,8,188,assay,0.025874563
4,Topic_5,9,601,encephalopathy,0.01300216
4,Topic_5,10,512,taq,0.01300216
4,Topic_5,11,44,sequence,0.01300216
4,Topic_5,12,586,disease,0.01300216
4,Topic_5,13,606,prion,0.01300216
4,Topic_5,14,617,gss,0.01300216
4,Topic_5,15,664,examination,0.01300216
4,Topic_5,16,600,disorder,0.01300216
4,Topic_5,17,501,virus,0.01300216
4,Topic_5,18,514,requirement,0.01300216
4,Topic_5,19,515,specificity,0.01300216
4,Topic_5,20,513,exhibit,0.01300216
5,Topic_6,1,633,p,0.10309168
5,Topic_6,2,838,kda,0.08811235
