Topic,Documents
Topic_1,5
Topic_10,10
Topic_11,4
Topic_12,18
Topic_13,6
Topic_14,4
Topic_16,4
Topic_17,11
Topic_18,15
Topic_19,4
Topic_20,4
Topic_21,1
Topic_22,12
Topic_23,8
Topic_24,1
Topic_25,2
Topic_26,2
Topic_27,4
Topic_28,2
Topic_29,7
Topic_3,3
Topic_30,3
Topic_31,3
Topic_32,10
Topic_33,3
Topic_34,3
Topic_35,4
Topic_36,2
Topic_37,1
Topic_38,12
Topic_39,7
Topic_4,7
Topic_40,3
Topic_41,5
Topic_42,3
Topic_43,4
Topic_44,1
Topic_45,1
Topic_47,4
Topic_48,3
Topic_49,2
Topic_5,3
Topic_50,6
Topic_51,6
Topic_52,5
Topic_53,1
Topic_6,4
Topic_7,3
Topic_8,1
Topic_9,3
