DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29
8042410,108,0,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.00049977953,0.9860061,0.00049977953,0.00049977953
8673465,108,0,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.9890275,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017,0.00039186017
9175625,108,0,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.98762065,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313,0.00044210313
9245791,108,0,0.0008019775,0.51276433,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.46558282,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775,0.0008019775
9346876,108,0,0.988366,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368,0.00041547368
9352931,108,0,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.7143279,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.27417657,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.00042575007,0.00042575007
10051610,108,0,0.00082111073,0.00082111073,0.43023688,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.00082111073,0.5475932,0.00082111073,0.00082111073,0.00082111073
10087618,108,0,0.0011891497,0.0011891497,0.0011891497,0.0011891497,0.0011891497,0.16108201,0.0011891497,0.0011891497,0.0011891497,0.0011891497,0.0011891497,0.0011891497,0.5984447,0.0011891497,0.0011891497,0.0011891497,0.0011891497,0.0011891497,0.0011891497,0.0011891497,0.20955527,0.0011891497,0.0011891497,0.0011891497,0.0011891497,0.0011891497,0.0011891497,0.0011891497,0.0011891497
10320929,108,0,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.9794563,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263,0.00073371263
10700148,108,0,0.00095791847,0.00095791847,0.00095791847,0.570253,0.00095791847,0.25922054,0.00095791847,0.00095791847,0.00095791847,0.00095791847,0.00095791847,0.00095791847,0.14562128,0.00095791847,0.00095791847,0.00095791847,0.00095791847,0.00095791847,0.00095791847,0.00095791847,0.00095791847,0.00095791847,0.00095791847,0.00095791847,0.00095791847,0.00095791847,0.00095791847,0.00095791847,0.00095791847
