Topic,Documents
Topic_1,6
Topic_10,3
Topic_11,2
Topic_13,3
Topic_14,14
Topic_15,1
Topic_16,3
Topic_17,4
Topic_18,5
Topic_19,2
Topic_2,8
Topic_20,4
Topic_21,1
Topic_22,1
Topic_23,3
Topic_24,6
Topic_26,12
Topic_27,7
Topic_29,4
Topic_3,1
Topic_30,7
Topic_31,1
Topic_32,9
Topic_33,5
Topic_34,2
Topic_35,1
Topic_36,4
Topic_37,1
Topic_38,9
Topic_39,2
Topic_4,3
Topic_40,3
Topic_41,1
Topic_42,3
Topic_43,3
Topic_44,1
Topic_45,2
Topic_46,3
Topic_47,2
Topic_48,6
Topic_49,3
Topic_5,4
Topic_50,13
Topic_51,8
Topic_52,7
Topic_53,5
Topic_54,4
Topic_55,7
Topic_56,2
Topic_57,8
Topic_58,3
Topic_59,2
Topic_6,3
Topic_60,1
Topic_7,1
Topic_8,7
Topic_9,4
