Topic,Documents
Topic_1,3
Topic_10,6
Topic_11,4
Topic_12,5
Topic_13,3
Topic_14,4
Topic_15,2
Topic_17,5
Topic_18,6
Topic_19,3
Topic_2,3
Topic_20,2
Topic_21,1
Topic_22,5
Topic_23,1
Topic_25,2
Topic_26,4
Topic_27,2
Topic_28,2
Topic_29,2
Topic_3,1
Topic_30,4
Topic_33,3
Topic_35,3
Topic_37,3
Topic_38,2
Topic_39,1
Topic_4,4
Topic_40,2
Topic_41,3
Topic_42,3
Topic_44,1
Topic_45,7
Topic_46,2
Topic_47,3
Topic_48,1
Topic_49,2
Topic_5,2
Topic_50,2
Topic_52,2
Topic_53,5
Topic_56,3
Topic_57,2
Topic_58,1
Topic_59,2
Topic_6,4
Topic_60,3
Topic_61,2
Topic_62,1
Topic_63,2
Topic_66,4
Topic_67,4
Topic_68,2
Topic_7,4
Topic_70,3
Topic_71,1
Topic_72,2
Topic_73,1
Topic_74,3
Topic_75,10
Topic_76,2
Topic_77,5
Topic_78,4
Topic_79,2
Topic_8,2
Topic_80,3
Topic_81,1
Topic_82,3
Topic_83,5
Topic_84,1
Topic_86,12
Topic_88,1
Topic_89,2
Topic_9,3
Topic_90,3
Topic_91,5
Topic_92,2
Topic_93,1
Topic_94,2
Topic_95,1
Topic_96,3
Topic_97,1
Topic_98,1
