Topic,Documents
Topic_1,3
Topic_10,2
Topic_11,1
Topic_12,1
Topic_13,2
Topic_14,4
Topic_16,4
Topic_17,2
Topic_18,5
Topic_19,1
Topic_2,13
Topic_20,3
Topic_21,2
Topic_22,2
Topic_23,2
Topic_24,3
Topic_26,4
Topic_27,4
Topic_28,3
Topic_29,4
Topic_3,4
Topic_30,8
Topic_31,1
Topic_32,4
Topic_33,3
Topic_34,2
Topic_36,3
Topic_37,5
Topic_38,3
Topic_39,4
Topic_4,1
Topic_40,1
Topic_41,3
Topic_42,4
Topic_43,1
Topic_44,1
Topic_45,1
Topic_46,4
Topic_47,5
Topic_48,4
Topic_49,2
Topic_5,7
Topic_50,3
Topic_51,3
Topic_52,3
Topic_53,4
Topic_54,2
Topic_55,2
Topic_56,3
Topic_58,2
Topic_59,4
Topic_6,4
Topic_61,2
Topic_63,1
Topic_64,1
Topic_65,3
Topic_66,2
Topic_67,3
Topic_68,2
Topic_69,3
Topic_7,2
Topic_70,3
Topic_72,3
Topic_74,15
Topic_75,4
Topic_77,2
Topic_79,2
Topic_8,11
Topic_80,2
Topic_81,5
Topic_82,1
Topic_83,1
Topic_84,3
Topic_9,3
