Topic,Documents
Topic_10,7
Topic_11,1
Topic_12,2
Topic_13,3
Topic_14,7
Topic_16,2
Topic_17,2
Topic_18,4
Topic_19,1
Topic_2,9
Topic_20,2
Topic_21,2
Topic_22,2
Topic_23,2
Topic_24,8
Topic_25,2
Topic_26,11
Topic_27,4
Topic_29,3
Topic_3,2
Topic_30,2
Topic_31,5
Topic_32,4
Topic_33,5
Topic_34,2
Topic_35,1
Topic_36,5
Topic_37,1
Topic_38,3
Topic_39,4
Topic_4,2
Topic_40,2
Topic_42,3
Topic_43,3
Topic_44,1
Topic_45,4
Topic_46,2
Topic_47,2
Topic_48,4
Topic_49,3
Topic_5,2
Topic_50,8
Topic_51,1
Topic_52,3
Topic_53,1
Topic_54,4
Topic_55,3
Topic_56,5
Topic_57,1
Topic_58,2
Topic_59,3
Topic_6,4
Topic_60,2
Topic_61,1
Topic_62,1
Topic_63,3
Topic_64,2
Topic_66,3
Topic_67,3
Topic_68,4
Topic_69,8
Topic_7,1
Topic_70,4
Topic_71,2
Topic_72,3
Topic_74,3
Topic_75,3
Topic_77,3
Topic_8,7
Topic_9,16
