TopicID,Topic,Rank,WordID,Word,Probability
0,Topic_1,1,675,case,0.037348203
0,Topic_1,2,587,disease,0.034784753
0,Topic_1,3,645,codon,0.034641124
0,Topic_1,4,639,prion,0.030960148
0,Topic_1,5,670,prnp,0.027794149
0,Topic_1,6,636,mutation,0.023035828
0,Topic_1,7,610,mouse,0.020815594
0,Topic_1,8,522,clinical,0.0147591075
0,Topic_1,9,509,patient,0.014288086
0,Topic_1,10,553,allele,0.013531522
0,Topic_1,11,561,polymorphism,0.0131510785
0,Topic_1,12,690,familial,0.011146823
0,Topic_1,13,557,genotype,0.0096819885
0,Topic_1,14,632,disorder,0.008486758
0,Topic_1,15,644,cjd,0.008422466
0,Topic_1,16,668,methionine,0.0082902955
0,Topic_1,17,640,scrapie,0.008215635
0,Topic_1,18,641,spongiform,0.0081496565
0,Topic_1,19,726,phenotype,0.008144834
0,Topic_1,20,5,analysis,0.008016698
1,Topic_2,1,59,activity,0.034606546
1,Topic_2,2,793,neuroblastoma,0.021849789
1,Topic_2,3,78,formation,0.019371243
1,Topic_2,4,610,mouse,0.016489113
1,Topic_2,5,863,app,0.016183982
1,Topic_2,6,852,apoe,0.016183982
1,Topic_2,7,401,internal,0.016182445
1,Topic_2,8,572,genotyping,0.015058415
1,Topic_2,9,859,abeta,0.013890169
1,Topic_2,10,376,control,0.013680911
1,Topic_2,11,570,deletion,0.011594661
1,Topic_2,12,636,mutation,0.011275972
1,Topic_2,13,746,alzheimers,0.011044665
1,Topic_2,14,587,disease,0.011005393
1,Topic_2,15,111,technique,0.009696659
1,Topic_2,16,44,sequence,0.009608017
1,Topic_2,17,84,increased,0.008907243
1,Topic_2,18,147,two,0.008906255
1,Topic_2,19,108,substrate,0.008753757
1,Topic_2,20,697,precursor,0.008629381
2,Topic_3,1,167,nuclear,0.020618835
2,Topic_3,2,19,expression,0.017540261
2,Topic_3,3,178,trafficking,0.016726287
2,Topic_3,4,323,role,0.016642
2,Topic_3,5,170,receptor,0.016089372
2,Topic_3,6,59,activity,0.014145875
2,Topic_3,7,18,expressed,0.012878882
2,Topic_3,8,870,bud,0.012507349
2,Topic_3,9,349,pathway,0.011287349
2,Topic_3,10,232,signaling,0.010683133
2,Topic_3,11,862,cholesterol,0.010235284
2,Topic_3,12,318,membrane,0.010084081
2,Topic_3,13,160,hormone,0.0099239005
2,Topic_3,14,202,activation,0.009139352
2,Topic_3,15,85,intracellular,0.009136931
2,Topic_3,16,105,result,0.008587968
2,Topic_3,17,366,human,0.008552033
2,Topic_3,18,34,normal,0.008402288
2,Topic_3,19,158,dynamic,0.008356853
2,Topic_3,20,166,molecule,0.008173412
3,Topic_4,1,753,apc,0.062571496
3,Topic_4,2,636,mutation,0.03201867
3,Topic_4,3,754,colorectal,0.03055199
3,Topic_4,4,54,tumor,0.02290678
3,Topic_4,5,755,fap,0.020722467
3,Topic_4,6,761,cancer,0.019908464
3,Topic_4,7,509,patient,0.019461108
3,Topic_4,8,34,normal,0.01685235
3,Topic_4,9,751,adenoma,0.016688528
3,Topic_4,10,759,polyposis,0.016268319
3,Topic_4,11,752,adenomatous,0.01614185
3,Topic_4,12,469,apoptosis,0.012943207
3,Topic_4,13,162,level,0.010830617
3,Topic_4,14,511,sample,0.010407128
3,Topic_4,15,21,found,0.009794146
3,Topic_4,16,105,result,0.008361147
3,Topic_4,17,84,increased,0.008358808
3,Topic_4,18,244,coli,0.008129148
3,Topic_4,19,294,line,0.0078050466
3,Topic_4,20,672,sporadic,0.0077536097
4,Topic_5,1,162,level,0.0496245
4,Topic_5,2,761,cancer,0.034955826
