TopicID,Topic,Rank,WordID,Word,Probability
0,Topic_1,1,585,mouse,0.05031145
0,Topic_1,2,604,mutation,0.039141458
0,Topic_1,3,586,disease,0.020442741
0,Topic_1,4,17,early,0.020310193
0,Topic_1,5,658,affected,0.017280212
0,Topic_1,6,518,clinical,0.017006472
0,Topic_1,7,606,prion,0.014712299
0,Topic_1,8,352,human,0.013736981
0,Topic_1,9,581,pathogenic,0.012522511
0,Topic_1,10,497,sample,0.011212608
0,Topic_1,11,609,transgenic,0.010959539
0,Topic_1,12,94,mutant,0.010102264
0,Topic_1,13,594,member,0.01009562
0,Topic_1,14,341,agent,0.009616333
0,Topic_1,15,634,prnp,0.009458965
0,Topic_1,16,534,value,0.009414007
0,Topic_1,17,555,following,0.009113493
0,Topic_1,18,91,may,0.009074786
0,Topic_1,19,613,codon,0.008533181
0,Topic_1,20,513,exhibit,0.0074042305
1,Topic_2,1,523,cancer,0.026877442
1,Topic_2,2,55,tumor,0.02410023
1,Topic_2,3,234,level,0.022250628
1,Topic_2,4,775,breast,0.02003138
1,Topic_2,5,465,apoptosis,0.019400284
1,Topic_2,6,19,expression,0.016826445
1,Topic_2,7,145,receptor,0.016152408
1,Topic_2,8,333,growth,0.014943297
1,Topic_2,9,284,line,0.014882891
1,Topic_2,10,352,human,0.012366278
1,Topic_2,11,785,ir,0.010899376
1,Topic_2,12,312,role,0.009918176
1,Topic_2,13,727,carcinoma,0.009900621
1,Topic_2,14,168,factor,0.008219243
1,Topic_2,15,478,mrna,0.008136124
1,Topic_2,16,91,may,0.008006643
1,Topic_2,17,251,dna,0.007991361
1,Topic_2,18,106,result,0.0077612293
1,Topic_2,19,60,also,0.0073388293
1,Topic_2,20,311,response,0.006522956
2,Topic_3,1,145,receptor,0.032139618
2,Topic_3,2,76,fluorescent,0.022788534
2,Topic_3,3,134,interaction,0.018014027
2,Topic_3,4,26,living,0.016528139
2,Topic_3,5,131,gfp,0.015559543
2,Topic_3,6,75,fluorescence,0.013455685
2,Topic_3,7,150,structure,0.0112644
2,Topic_3,8,123,complex,0.010023265
2,Topic_3,9,154,two,0.008695182
2,Topic_3,10,217,signal,0.008654882
2,Topic_3,11,181,transfer,0.008627506
2,Topic_3,12,94,mutant,0.008275359
2,Topic_3,13,7,assembly,0.00813487
2,Topic_3,14,151,study,0.008114202
2,Topic_3,15,306,membrane,0.00806204
2,Topic_3,16,82,imaging,0.007700725
2,Topic_3,17,170,fret,0.007628587
2,Topic_3,18,329,degree,0.0076100924
2,Topic_3,19,132,green,0.007534111
2,Topic_3,20,302,expressing,0.007248225
3,Topic_4,1,825,abeta,0.032509685
3,Topic_4,2,585,mouse,0.020254634
3,Topic_4,3,639,brain,0.019700307
3,Topic_4,4,62,binding,0.01833442
3,Topic_4,5,59,activity,0.015637241
3,Topic_4,6,134,interaction,0.0140804155
3,Topic_4,7,714,isoforms,0.010584554
3,Topic_4,8,392,tissue,0.010378926
3,Topic_4,9,61,based,0.010174805
3,Topic_4,10,330,domain,0.009920714
3,Topic_4,11,6,analysis,0.009734687
3,Topic_4,12,247,acceptor,0.009451642
3,Topic_4,13,91,may,0.009291714
3,Topic_4,14,313,showed,0.009269569
3,Topic_4,15,253,identified,0.008818987
3,Topic_4,16,170,fret,0.0084453
3,Topic_4,17,164,containing,0.008171212
3,Topic_4,18,78,function,0.007991881
3,Topic_4,19,158,vivo,0.0075048613
3,Topic_4,20,66,cortex,0.0073621036
4,Topic_5,1,188,assay,0.04976301
4,Topic_5,2,480,pcr,0.04689928
4,Topic_5,3,497,sample,0.029044194
4,Topic_5,4,462,probe,0.024928011
4,Topic_5,5,477,fluorogenic,0.022039844
4,Topic_5,6,250,detection,0.017157586
4,Topic_5,7,30,method,0.016287372
4,Topic_5,8,56,using,0.013808837
4,Topic_5,9,479,nuclease,0.013486532
4,Topic_5,10,481,polymerase,0.013063188
4,Topic_5,11,500,taqman,0.012894972
4,Topic_5,12,6,analysis,0.012642771
4,Topic_5,13,251,dna,0.011658172
4,Topic_5,14,476,dye,0.011190574
4,Topic_5,15,475,detect,0.011145715
4,Topic_5,16,473,amplification,0.011106995
4,Topic_5,17,483,reaction,0.010878454
4,Topic_5,18,70,detected,0.010616806
4,Topic_5,19,106,result,0.010467992
4,Topic_5,20,75,fluorescence,0.010222739
5,Topic_6,1,604,mutation,0.03517891
5,Topic_6,2,821,ad,0.035132
5,Topic_6,3,822,apoe,0.029976899
5,Topic_6,4,586,disease,0.029076498
5,Topic_6,5,495,patient,0.018660571
5,Topic_6,6,629,case,0.018243803
5,Topic_6,7,535,allele,0.017230906
5,Topic_6,8,816,alzheimers,0.015405539
5,Topic_6,9,627,age,0.014009703
