DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,Topic_38,Topic_39,Topic_40,Topic_41,Topic_42,Topic_43,Topic_44,Topic_45,Topic_46,Topic_47,Topic_48,Topic_49,Topic_50,Topic_51,Topic_52,Topic_53,Topic_54,Topic_55,Topic_56,Topic_57,Topic_58
8042410,108,0,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.9861569,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274,0.00024285274
8132718,108,0,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.1647119,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.82501596,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736,0.00018342736
8707050,108,0,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.52584887,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.45750296,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605,0.00029728605
9175625,108,0,0.00019157822,0.00019157822,0.00019157822,0.98907936,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822,0.00019157822
9245791,108,0,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.97863436,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251,0.0003748251
9346876,108,0,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.98771465,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236,0.00021552236
9352931,108,0,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.98801464,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641,0.00021026641
9591694,108,0,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.98829985,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163,0.00020526163
10051610,108,0,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.97714347,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813,0.0004009813
10087618,108,0,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.9692882,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464,0.00053881464
