Topic,Documents
Topic_1,4
Topic_10,2
Topic_11,4
Topic_12,2
Topic_13,2
Topic_16,1
Topic_17,5
Topic_18,2
Topic_19,2
Topic_2,3
Topic_20,1
Topic_21,9
Topic_22,4
Topic_23,1
Topic_24,2
Topic_25,1
Topic_26,4
Topic_27,1
Topic_29,2
Topic_3,5
Topic_31,3
Topic_33,2
Topic_34,1
Topic_35,5
Topic_36,7
Topic_37,1
Topic_38,5
Topic_39,1
Topic_4,6
Topic_40,4
Topic_42,3
Topic_43,2
Topic_44,5
Topic_45,5
Topic_46,1
Topic_48,4
Topic_49,3
Topic_5,5
Topic_50,1
Topic_51,5
Topic_52,2
Topic_54,2
Topic_55,2
Topic_56,4
Topic_57,2
Topic_58,3
Topic_59,6
Topic_6,3
Topic_60,2
Topic_61,2
Topic_64,3
Topic_65,3
Topic_66,4
Topic_67,3
Topic_68,1
Topic_69,1
Topic_7,4
Topic_70,5
Topic_71,2
Topic_72,3
Topic_73,4
Topic_74,2
Topic_75,3
Topic_76,2
Topic_77,6
Topic_78,3
Topic_80,3
Topic_81,1
Topic_82,1
Topic_83,6
Topic_84,2
Topic_85,3
Topic_86,3
Topic_88,3
Topic_89,2
Topic_9,5
Topic_90,4
Topic_91,1
Topic_93,3
