Topic,Documents
Topic_1,3
Topic_10,4
Topic_11,1
Topic_12,3
Topic_13,5
Topic_14,2
Topic_15,2
Topic_16,1
Topic_17,8
Topic_18,7
Topic_2,3
Topic_20,3
Topic_22,8
Topic_23,4
Topic_25,1
Topic_26,1
Topic_28,1
Topic_29,7
Topic_3,1
Topic_30,6
Topic_31,3
Topic_32,1
Topic_33,3
Topic_34,3
Topic_35,3
Topic_36,1
Topic_37,1
Topic_38,2
Topic_39,3
Topic_4,3
Topic_40,4
Topic_41,2
Topic_42,3
Topic_44,3
Topic_49,2
Topic_5,5
Topic_50,5
Topic_52,5
Topic_53,1
Topic_54,3
Topic_55,2
Topic_56,3
Topic_57,1
Topic_58,1
Topic_59,1
Topic_6,2
Topic_60,1
Topic_61,3
Topic_62,7
Topic_63,6
Topic_64,3
Topic_66,2
Topic_67,1
Topic_68,2
Topic_69,3
Topic_7,1
Topic_70,4
Topic_71,2
Topic_72,1
Topic_73,3
Topic_74,1
Topic_75,2
Topic_76,5
Topic_79,4
Topic_8,3
Topic_80,2
Topic_81,5
Topic_82,2
Topic_84,1
Topic_85,5
Topic_86,1
Topic_87,2
Topic_88,2
Topic_89,4
Topic_9,2
Topic_90,2
Topic_91,2
Topic_92,3
Topic_93,4
Topic_94,4
Topic_95,2
Topic_96,6
