Topic,Documents
Topic_1,4
Topic_10,4
Topic_12,2
Topic_13,2
Topic_14,3
Topic_15,2
Topic_16,1
Topic_17,3
Topic_18,2
Topic_19,5
Topic_2,9
Topic_20,4
Topic_22,1
Topic_23,3
Topic_24,3
Topic_26,6
Topic_27,5
Topic_29,4
Topic_3,2
Topic_30,4
Topic_31,2
Topic_32,3
Topic_33,3
Topic_34,1
Topic_35,2
Topic_36,10
Topic_37,3
Topic_38,4
Topic_39,2
Topic_40,4
Topic_42,4
Topic_43,3
Topic_44,3
Topic_45,6
Topic_46,4
Topic_47,2
Topic_48,2
Topic_49,1
Topic_5,3
Topic_50,5
Topic_51,3
Topic_52,3
Topic_53,2
Topic_54,7
Topic_55,2
Topic_56,6
Topic_58,4
Topic_59,1
Topic_6,4
Topic_60,2
Topic_61,1
Topic_62,1
Topic_63,5
Topic_64,2
Topic_66,5
Topic_67,1
Topic_68,3
Topic_69,4
Topic_7,1
Topic_70,2
Topic_71,1
Topic_72,2
Topic_73,2
Topic_74,10
Topic_75,3
Topic_76,2
Topic_77,2
Topic_78,2
Topic_8,7
Topic_9,14
